City_ID,city_id,city_name,latitude,longitude,temp,humidity,cloudiness,wind_speed,country,date
252,3464724,Sandeid,59.54,5.86,41.0,83,90,8.05,NO,1609466721
253,3464724,Pontianak,-0.03,109.33,77.09,91,98,5.03,ID,1609466449
254,3464724,San Jerónimo,-11.95,-75.28,51.84,73,97,1.3,PE,1609466722
255,3464724,Manche,49.0,-1.17,30.2,92,5,6.93,FR,1609466722
256,3464724,Zarechnyy,53.2,45.19,23.0,58,100,8.63,RU,1609466722
257,3464724,Raudeberg,61.99,5.14,37.99,79,16,13.24,NO,1609466722
258,3464724,Shimoda,34.67,138.95,46.4,52,20,10.29,JP,1609466492
259,3464724,Penzance,50.12,-5.54,33.01,72,12,13.87,GB,1609466722
260,3464724,Kyra,49.58,111.98,-9.36,82,34,3.74,RU,1609466723
261,3464724,Lompoc,34.64,-120.46,55.4,54,1,6.93,US,1609466638
262,3464724,Jāwā,31.85,35.94,46.4,93,75,3.36,JO,1609466723
263,3464724,Laguna,38.42,-121.42,55.4,54,1,10.29,US,1609466723
264,3464724,Kuntaur,13.67,-14.88,77.49,30,0,5.37,GM,1609466723
265,3464724,Port Elizabeth,-33.92,25.57,66.2,82,75,17.22,ZA,1609466723
266,3464724,Makkah al Mukarramah,21.43,39.83,73.36,74,0,3.96,SA,1609466723
267,3464724,Lukovetskiy,64.3,41.92,21.2,92,90,13.42,RU,1609466724
268,3464724,Pak Phanang,8.35,100.2,78.8,94,40,2.24,TH,1609466724
269,3464724,Safi,32.3,-9.24,52.2,74,0,10.98,MA,1609466724
270,3464724,Cayenne,4.93,-52.33,75.2,100,100,1.12,GF,1609466724
271,3464724,Acaraú,-2.89,-40.12,79.99,81,1,14.56,BR,1609466724
272,3464724,Khuzhir,53.19,107.34,3.72,91,64,11.79,RU,1609466725
273,3464724,Sarāhan,31.52,77.8,37.67,46,100,7.76,IN,1609466725
274,3464724,Inhambane,-23.86,35.38,78.84,88,54,8.28,MZ,1609466725
275,3464724,Marabu,4.41,114.01,82.4,83,20,3.36,MY,1609466725
276,3464724,Yerköy,39.64,34.47,40.24,69,0,3.27,TR,1609466725
277,3464724,Yumen,40.28,97.2,14.32,77,0,10.13,CN,1609466725
278,3464724,Sillod,20.3,75.65,59.0,87,45,8.99,IN,1609466725
279,3464724,Hong Kong,22.29,114.16,51.01,35,8,1.99,HK,1609466608
280,3464724,Camacha,33.08,-16.33,57.2,76,75,7.72,PT,1609466726
281,3464724,Chīpurupalle,18.3,83.57,64.96,72,32,4.68,IN,1609466726
282,3464724,Evensk,61.95,159.23,-15.34,79,0,15.46,RU,1609466726
283,3464724,Bethel,41.37,-73.41,35.6,59,40,3.36,US,1609466726
284,3464724,Kirakira,-10.45,161.92,86.63,63,60,6.17,SB,1609466726
285,3464724,Tarauacá,-8.16,-70.77,72.12,96,97,2.82,BR,1609466727
286,3464724,Paciran,-6.88,112.38,82.22,76,87,0.27,ID,1609466727
287,3464724,San Patricio,28.02,-97.52,44.6,70,1,21.92,US,1609466727
288,3464724,Mahbūbābād,17.62,80.02,65.43,86,59,3.2,IN,1609466728
289,3464724,Itarema,-2.92,-39.92,80.26,80,0,14.74,BR,1609466728
290,3464724,Coyhaique,-45.58,-72.07,57.2,62,0,4.7,CL,1609466728
291,3464724,Srednekolymsk,67.45,153.68,-30.06,84,100,7.36,RU,1609466728
292,3464724,Kavieng,-2.57,150.8,85.68,69,24,10.16,PG,1609466728
293,3464724,Durban,-29.86,31.03,73.99,94,90,5.82,ZA,1609466728
294,3464724,Vallenar,-28.57,-70.76,65.01,66,2,3.94,CL,1609466728
295,3464724,Brigantine,39.41,-74.36,42.8,75,90,5.82,US,1609466729
296,3464724,Russell,32.35,-85.2,62.6,88,90,5.57,US,1609466729
297,3464724,South Kazakhstan Region,43.0,68.0,15.31,88,0,1.57,KZ,1609466729
298,3464724,Vardø,70.37,31.11,29.7,96,92,18.19,NO,1609466729
299,3464724,Homer,59.64,-151.55,35.01,86,75,3.85,US,1609466729
300,3464724,Lorengau,-2.02,147.27,84.49,75,96,8.34,PG,1609466729
301,3464724,Kaitangata,-46.28,169.85,59.0,90,87,8.01,NZ,1609466729
302,3464724,Mitsamiouli,-11.38,43.28,80.98,69,10,2.42,KM,1609466730
303,3464724,Okhotsk,59.38,143.3,-2.42,81,100,18.52,RU,1609466730
304,3464724,Geraldton,-28.77,114.6,78.8,61,0,9.17,AU,1609466730
305,3464724,Jalu,29.03,21.55,53.17,41,0,6.73,LY,1609466443
306,3464724,Thinadhoo,0.53,72.93,81.18,79,100,10.92,MV,1609466730
307,3464724,Cap Malheureux,-19.98,57.61,78.01,71,4,7.0,MU,1609466730
308,3464724,Baicheng,45.62,122.82,-0.89,70,0,5.55,CN,1609466504
